doc_id	sent_id	token_id	token	lemma	pos	tag	dep	head_id	ner
wn-0000	0	0	Colin	Colin	PROPN	NNP	compound	2	B-PERSON
wn-0000	0	1	A.	A.	PROPN	NNP	compound	2	I-PERSON
wn-0000	0	2	Norman	Norman	PROPN	NNP	nsubj	27	I-PERSON
wn-0000	0	3	,	,	PUNCT	,	punct	2	O
wn-0000	0	4	Professor	Professor	PROPN	NNP	appos	2	O
wn-0000	0	5	of	of	ADP	IN	prep	4	O
wn-0000	0	6	Physics	Physics	PROPN	NNP	pobj	5	B-ORG
wn-0000	0	7	and	and	CCONJ	CC	cc	6	O
wn-0000	0	8	Astronomy	Astronomy	PROPN	NNP	conj	6	O
wn-0000	0	9	at	at	ADP	IN	prep	2	O
wn-0000	0	10	Johns	Johns	PROPN	NNP	compound	11	B-ORG
wn-0000	0	11	Hopkins	Hopkins	PROPN	NNP	compound	12	I-ORG
wn-0000	0	12	University	University	PROPN	NNP	pobj	9	I-ORG
wn-0000	0	13	,	,	PUNCT	,	punct	2	O
wn-0000	0	14	testifying	testify	VERB	VBG	acl	2	O
wn-0000	0	15	before	before	ADP	IN	prep	14	O
wn-0000	0	16	the	the	DET	DT	det	18	B-ORG
wn-0000	0	17	U.S.	U.S.	PROPN	NNP	compound	18	I-ORG
wn-0000	0	18	House	House	PROPN	NNP	pobj	15	I-ORG
wn-0000	0	19	of	of	ADP	IN	prep	18	I-ORG
wn-0000	0	20	Representatives	Representatives	PROPN	NNP	compound	21	I-ORG
wn-0000	0	21	Committee	Committee	PROPN	NNP	pobj	19	I-ORG
wn-0000	0	22	on	on	ADP	IN	prep	18	I-ORG
wn-0000	0	23	Science	Science	PROPN	NNP	pobj	22	I-ORG
wn-0000	0	24	February	February	PROPN	NNP	compound	25	B-DATE
wn-0000	0	25	2nd	2nd	NOUN	NN	npadvmod	18	I-DATE
wn-0000	0	26	,	,	PUNCT	,	punct	2	O
wn-0000	0	27	presented	present	VERB	VBD	ROOT	27	O
wn-0000	0	28	the	the	DET	DT	det	31	O
wn-0000	0	29	Hubble	Hubble	PROPN	NNP	compound	30	B-SPACECRAFT
wn-0000	0	30	Origins	Origins	PROPN	NNPS	compound	31	O
wn-0000	0	31	Probe	Probe	PROPN	NNP	dobj	27	O
wn-0000	0	32	(	(	PUNCT	-LRB-	punct	31	O
wn-0000	0	33	HOP	HOP	PROPN	NNP	appos	31	O
wn-0000	0	34	)	)	PUNCT	-RRB-	punct	31	O
wn-0000	0	35	as	as	ADP	IN	prep	27	O
wn-0000	0	36	a	a	DET	DT	det	37	O
wn-0000	0	37	replacement	replacement	NOUN	NN	pobj	35	O
wn-0000	0	38	for	for	ADP	IN	prep	37	O
wn-0000	0	39	the	the	DET	DT	det	42	O
wn-0000	0	40	Hubble	Hubble	PROPN	NNP	compound	42	B-SPACECRAFT
wn-0000	0	41	Space	Space	PROPN	NNP	compound	42	I-SPACECRAFT
wn-0000	0	42	Telescope	Telescope	PROPN	NNP	pobj	38	I-SPACECRAFT
wn-0000	0	43	.	.	PUNCT	.	punct	27	O
wn-0000	1	45	Concerning	concern	VERB	VBG	prep	67	O
wn-0000	1	46	the	the	DET	DT	det	47	O
wn-0000	1	47	shuttle	shuttle	NOUN	NN	poss	53	O
wn-0000	1	48	's	's	PART	POS	case	47	O
wn-0000	1	49	estimated	estimate	VERB	VBN	amod	53	O
wn-0000	1	50	one	one	NUM	CD	compound	51	B-MONEY
wn-0000	1	51	billion	billion	NUM	CD	nummod	52	I-MONEY
wn-0000	1	52	dollar	dollar	NOUN	NN	compound	53	I-MONEY
wn-0000	1	53	cost	cost	NOUN	NN	pobj	45	O
wn-0000	1	54	and	and	CCONJ	CC	cc	53	O
wn-0000	1	55	65	65	NUM	CD	nummod	56	B-DATE
wn-0000	1	56	month	month	NOUN	NN	compound	59	I-DATE
wn-0000	1	57	time	time	NOUN	NN	compound	59	O
wn-0000	1	58	-	-	PUNCT	HYPH	punct	59	O
wn-0000	1	59	frame	frame	NOUN	NN	conj	53	O
wn-0000	1	60	for	for	ADP	IN	prep	59	O
wn-0000	1	61	deployment	deployment	NOUN	NN	pobj	60	O
wn-0000	1	62	to	to	ADP	IN	prep	61	O
wn-0000	1	63	earth	earth	NOUN	NN	compound	64	O
wn-0000	1	64	orbit	orbit	NOUN	NN	pobj	62	O
wn-0000	1	65	,	,	PUNCT	,	punct	67	O
wn-0000	1	66	Norman	Norman	PROPN	NNP	nsubj	67	B-PERSON
wn-0000	1	67	said	say	VERB	VBD	ROOT	67	O
wn-0000	1	68	:	:	PUNCT	:	punct	67	O
wn-0000	1	69	""""	""""	PUNCT	``	punct	67	O
wn-0000	1	70	The	the	DET	DT	det	72	O
wn-0000	1	71	groundbreaking	groundbreaking	NOUN	NN	compound	72	O
wn-0000	1	72	science	science	NOUN	NN	nsubj	108	O
wn-0000	1	73	,	,	PUNCT	,	punct	72	O
wn-0000	1	74	the	the	DET	DT	det	77	O
wn-0000	1	75	cutting	cutting	NOUN	NN	compound	76	O
wn-0000	1	76	edge	edge	NOUN	NN	compound	77	O
wn-0000	1	77	technology	technology	NOUN	NN	appos	72	O
wn-0000	1	78	generated	generate	VERB	VBN	acl	77	O
wn-0000	1	79	in	in	ADP	IN	prep	78	O
wn-0000	1	80	the	the	DET	DT	det	81	O
wn-0000	1	81	development	development	NOUN	NN	pobj	79	O
wn-0000	1	82	of	of	ADP	IN	prep	81	O
wn-0000	1	83	new	new	ADJ	JJ	amod	84	O
wn-0000	1	84	instrumentation	instrumentation	NOUN	NN	pobj	82	O
wn-0000	1	85	,	,	PUNCT	,	punct	72	O
wn-0000	1	86	the	the	DET	DT	det	87	O
wn-0000	1	87	ability	ability	NOUN	NN	appos	72	O
wn-0000	1	88	of	of	ADP	IN	prep	87	O
wn-0000	1	89	Hubble	Hubble	PROPN	NNP	compound	90	B-SPACECRAFT
wn-0000	1	90	science	science	NOUN	NN	pobj	88	O
wn-0000	1	91	to	to	PART	TO	aux	92	O
wn-0000	1	92	engage	engage	VERB	VB	acl	87	O
wn-0000	1	93	the	the	DET	DT	det	94	O
wn-0000	1	94	interest	interest	NOUN	NN	dobj	92	O
wn-0000	1	95	of	of	ADP	IN	prep	94	O
wn-0000	1	96	the	the	DET	DT	det	97	O
wn-0000	1	97	public	public	NOUN	NN	pobj	95	O
wn-0000	1	98	,	,	PUNCT	,	punct	87	O
wn-0000	1	99	and	and	CCONJ	CC	cc	87	O
wn-0000	1	100	its	its	PRON	PRP$	poss	101	O
wn-0000	1	101	impact	impact	NOUN	NN	conj	87	O
wn-0000	1	102	on	on	ADP	IN	prep	101	O
wn-0000	1	103	the	the	DET	DT	det	104	O
wn-0000	1	104	imagination	imagination	NOUN	NN	pobj	102	O
wn-0000	1	105	of	of	ADP	IN	prep	104	O
wn-0000	1	106	students	student	NOUN	NNS	pobj	105	O
wn-0000	1	107	,	,	PUNCT	,	punct	72	O
wn-0000	1	108	make	make	VERB	VB	ccomp	67	O
wn-0000	1	109	it	it	PRON	PRP	nsubj	110	O
wn-0000	1	110	worthwhile	worthwhile	ADJ	JJ	ccomp	108	O
wn-0000	1	111	to	to	PART	TO	aux	112	O
wn-0000	1	112	invest	invest	VERB	VB	advcl	110	O
wn-0000	1	113	this	this	DET	DT	det	114	O
wn-0000	1	114	sum	sum	NOUN	NN	dobj	112	O
wn-0000	1	115	of	of	ADP	IN	prep	114	O
wn-0000	1	116	public	public	ADJ	JJ	amod	117	O
wn-0000	1	117	funds	fund	NOUN	NNS	pobj	115	O
wn-0000	1	118	to	to	PART	TO	aux	119	O
wn-0000	1	119	complete	complete	VERB	VB	advcl	112	O
wn-0000	1	120	the	the	DET	DT	det	122	O
wn-0000	1	121	last	last	ADJ	JJ	amod	122	O
wn-0000	1	122	chapter	chapter	NOUN	NN	dobj	119	O
wn-0000	1	123	of	of	ADP	IN	prep	122	O
wn-0000	1	124	Hubble	Hubble	PROPN	NNP	poss	127	B-SPACECRAFT
wn-0000	1	125	's	's	PART	POS	case	124	O
