correct,doc_id,sent_id,event_type,trigger_word,agent,patient,time_expr,negated,confidence,trigger_lemma,sentence
,wn-0067,1,delay,delayed,Officials,the landing,today,False,0.65,delay,"Officials initially delayed the landing, but finally cancelled any attempts for today citing the reason as ""unstable, unacceptable cloud cover with the potential for showers in vicinity of landing site."
,wn-0393,0,delay,delayed,,the launch,about a year,False,0.65,delay,RussiaRussian space officials have said that the launch of the new Angara carrier rocket might be delayed for about a year due to lack of funds.
,wn-0277,26,delay,delayed,,All engine burns,,False,0.6,delay,All engine burns have been delayed or cancelled whilst the fault is investigated.
,wn-0429,4,delay,delayed,,The launch,two days,False,0.65,delay,"The launch was originally scheduled for this past Monday, but was delayed two days because of helium and nitrogen leaks on board the shuttle."
,wn-0277,17,delay,delayed,,The launch,July,False,0.65,delay,"The launch of Jules Verne had previously been delayed from July, September and November 2007, and from February 2008."
,wn-0329,59,discovery,found,,the committee,the end of the decade,False,0.65,find,"""However, the committee was not persuaded of the primacy of the science program beyond the end of the decade and found that the case for long term support at the present level was not as strong as that for other facilities."
,wn-0009,11,discovery,detects,BAT,bursts,,False,0.7,detect,The BAT detects bursts and initiates the autonomous slewing to bring the XRT and the Ultraviolet/Optical Telescope (UVOT) within focus of the burst.
,wn-0238,14,discovery,detect,,the process,,False,0.6,detect,"""It is fantastic to think we are able to detect the process of terrestrial planet formation."
,wn-0009,8,discovery,detect,this,these fleeting gamma-ray bursts,about a minute,False,0.65,detect,"""And this is what Swift was built to do: to detect these fleeting gamma-ray bursts and focus its telescopes on them autonomously within about a minute."
,wn-0089,21,discovery,identify,you,those,,False,0.6,identify,"""We think a significant fraction of comets will be stardust particles actually older than Earth and older than the Sun, and for drama the stars, and the way you identify those is by their isotopic ratios,"" Stardust Principal Investigator Don Brownlee said."
,wn-0031,2,docking,docking,the Pirs DC1,compartment/airlock,the last three,False,0.65,dock,"At 06:25 UTC, the two astronauts left the station from the Pirs DC1 docking compartment/airlock and proceeded to install the last three of six space-to-space communication antennas for the ATV's rendezvous and docking with the ISS next year."
,wn-0383,10,docking,docked,,the shuttle,,False,0.6,dock,"While the shuttle is docked to the station, there will be 13 astronauts working in space at one time - the highest number in the station's history."
,wn-0040,9,docking,docking,,,9 p.m. Saturday,False,0.55,docking,Live NASA coverage of the docking and hatch opening will be shown on NASA TV beginning at 9 p.m. Saturday and can be viewed on Internet TV at http://www.nasa.gov/ntv (Free Real Player or Windows Media Player required).
,wn-0437,7,docking,docking,,,the day,False,0.55,docking,"There was a delay in the docking mechanism's ability to make a seal between the two spacecraft during docking operations, so activities occurring later on in the day, including the transfer of ELC-4, may be delayed."
,wn-0206,4,docking,dock,Atlantis,the space station,tomorrow,False,0.75,dock,Atlantis is scheduled to dock with the space station at around 1930 GMT tomorrow.
,wn-0315,8,failure,failed,,it,late 2006,False,0.65,fail,"Chinasat-9 is the last of a number of communications satellites which have been launched by China over the last few years to boost capacity for the Olympic Games, including the Sinosat-2 spacecraft, which was lost after it failed to deploy its solar panels subsequent to its launch in late 2006."
,wn-0303,8,failure,destroyed,,The spacecraft,several months,False,0.65,destroy,"The spacecraft will undock, de-orbit, and be destroyed during controlled atmospheric re-entry in several months time."
,wn-0230,5,failure,failure,,,,False,0.5,failure,A Russian State Commission will be responsible for determining the cause of the failure.
,wn-0115,7,failure,faulty,,a faulty transistor,,False,0.55,faulty,The cause of the main camera's malfunction may be a faulty transistor or a disruption to the camera's memory.
,wn-0349,2,failure,accident,,,2003,False,0.55,accident,"The accident investigation report was released in 2003, the year of the crash."
,wn-0003,5,flyby,fly,Cassini,Iapetus,September 2007,False,0.9,fly,Cassini will next fly by Iapetus in September 2007.
,wn-0029,18,flyby,flyby,,,just one day,False,0.55,flyby,The impactor is a battery-powered spacecraft that operates independently of the flyby spacecraft for just one day.
,wn-0483,4,flyby,flyby,,its,Tuesday,False,0.6,flyby,With its flyby on Tuesday it became the first spacecraft to explore Pluto closely.
,wn-0029,8,flyby,encounter,,,,False,0.5,encounter,"""Everyone on the science and engineering teams is getting very excited and looking forward to the encounter."
,wn-0094,6,flyby,fly,the probe,Pluto,"Around July 14, 2015",False,0.8,fly,"Around July 14, 2015, the probe is expected to fly by Pluto and its moon Charon, after which the probe could possibly make a flyby of one or more Kuiper Belt objects."
,wn-0479,4,landing,landed,,the space module,Four and a half hours later,False,0.65,land,"Four and a half hours later, the space module landed in the Pacific Ocean."
,wn-0273,1,landing,Landing,,,today,False,0.55,landing,"Landing occurred at the earliest opportunity today, with Atlantis touching down at 14:07:10 GMT (09:07:10 local time), following a de-orbit burn at 13:00 GMT, and entry interface at 13:35."
,wn-0217,3,landing,landing,,,,False,0.5,landing,NASA had previously expressed their desire to avoid a landing in California if possible due to logistical difficulties that would be caused by the diversion.
,wn-0438,12,landing,landing,,,Wednesday,False,0.55,landing,"A NASA commentator describes Wednesday's landing as ""the end of a historic journey."
,wn-0260,3,landing,landing,,,,False,0.5,landing,"NASA officials, astronauts, schoolchildren and family members attended the ceremony, which was held just miles from Columbias intended landing site."
,wn-0379,6,launch,launch,,,,False,0.5,launch,"The 2,300 pounds (1,043 kg) spent upper stage Centaur motor of the Atlas V launch vehicle will strike the surface of the moon at 9,000 km/h (5,600 mph) resulting in a 350 ton (317 metric ton) plume of debris rising between 6 to 30 miles (10 to 48 km) above the moon's surface."
,wn-0379,2,launch,launch,,,about 20 minutes,True,0.55,launch,Due to nearby thunderstorms the launch was delayed about 20 minutes from the scheduled launch time of 5.12 p.m. EDT (2112 GMT).
,wn-0367,1,launch,launch,,,Wednesday,False,0.55,launch,U.S. intelligence officials announced Wednesday that a missile had been rolled out to a pad at its Musudan launch facility.
,wn-0396,20,launch,launch,,a new project,,False,0.55,launch,"However, several other projects are also keen to get themselves the next opportunity NASA is offering for the launch of a new project other than its own."
,wn-0119,4,launch,launch,,,Around 3 minutes,False,0.55,launch,"Around 3 minutes into the launch, an on-board camera showed numerous pieces of insulation foam break away from the fuel tank."
