correct,doc_id,sent_id,relation,subj,obj,trigger,pattern,confidence,source,subj_key,obj_key,sentence
n,wn-0154,4,CREWED_BY,Cassini,Andrew Ingersoll,member,path_trigger,0.4,rule,SPACECRAFT:Cassini,PERSON:Andrew Ingersoll,"Whatever it is, we're going to focus on the eye of this storm and find out why it's there,"" said Doctor Andrew Ingersoll, a member of Cassini's imaging team at the California Institute of Technology located in Pasadena."
y,wn-0431,1,CREWED_BY,International Space Station,Douglas Wheelock,crew,path_trigger,0.4,rule,SPACECRAFT:ISS,PERSON:Douglas Wheelock,"The Soyuz TMA-19 spacecraft has landed safely today in Kazakhstan with International Space Station crew members Fyodor Yurchikhin, Shannon Walker, and Douglas Wheelock."
y,wn-0278,4,CREWED_BY,ISS,Reisman,member,path_trigger,0.4,rule,SPACECRAFT:ISS,PERSON:Reisman,"Reisman, a member of the ISS Expedition 16 and 17 crews, will remain aboard the Space Station, replacing Léopold Eyharts who launched aboard STS-122 last month."
n,wn-0434,2,CREWED_BY,International Space Station,Tim Kopra,member,path_trigger,0.4,rule,SPACECRAFT:ISS,PERSON:Tim Kopra,"astronaut Tim Kopra, a crew member on the upcoming STS-133 Space Shuttle mission to the International Space Station (ISS), sustained an injury in a bicycle accident over the weekend, possibly breaking his hip."
y,wn-0431,1,CREWED_BY,International Space Station,Shannon Walker,crew,path_trigger,0.4,rule,SPACECRAFT:ISS,PERSON:Shannon Walker,"The Soyuz TMA-19 spacecraft has landed safely today in Kazakhstan with International Space Station crew members Fyodor Yurchikhin, Shannon Walker, and Douglas Wheelock."
n,wn-0003,0,DESTINATION,Cassini,Saturn,probe,path_trigger,0.4,rule,SPACECRAFT:Cassini,CELESTIAL:Saturn,"The Cassini space probe, currently in orbit around the planet Saturn, has returned extraordinary pictures from the Saturnian satellite Iapetus."
n,wn-0270,3,DESTINATION,Space Shuttle,Earth,return,path_trigger,0.4,rule,SPACECRAFT:Space Shuttle,CELESTIAL:Earth,"The goals of the spacewalk were to install two experiments onto the outside of the newly delivered Columbus module of the space station, and to load a failed gyroscope onto the visiting Space Shuttle, Atlantis, for return to Earth next Wednesday."
y,wn-0467,10,DESTINATION,Soyuz,Earth,return,path_trigger,0.4,rule,SPACECRAFT:Soyuz,CELESTIAL:Earth,"The trio already aboard the ISS&amp;mdash;consisting of Romanenko, Hadfield, and Marshburn&amp;mdash;are to depart and return to Earth aboard Soyuz TMA-07M on May 14, leaving the Soyuz TMA-08M crew behind."
y,wn-0068,0,DESTINATION,Orbiter Discovery,Earth,returned,verb_prep,0.82,rule,SPACECRAFT:Orbiter Discovery,CELESTIAL:Earth,"The US Space Shuttle Orbiter Discovery has returned to Earth safely, landing at Edwards Air Force Base, California, touching down on runway 22 at 8:11:22 am EDT (1211 GMT), and rolling to a stop."
y,wn-0191,0,DESTINATION,Phoenix,Mars,mission,noun_of,0.75,rule,SPACECRAFT:Phoenix,CELESTIAL:Mars,"Canadian news Canada has contributed a significant component to NASA's Phoenix mission to Mars, announced Maxime Bernier, Canada's Minister of Industry."
