doc_id,sent_id,relation,subj,subj_canonical,subj_label,subj_key,obj,obj_canonical,obj_label,obj_key,trigger,pattern,confidence,source,sentence
wn-0000,4,PART_OF,Hubble Space Telescope,Hubble Space Telescope,SPACECRAFT,SPACECRAFT:Hubble Space Telescope,the Wide Field Camera 3,Wide Field Camera 3,ORG,ORG:Wide Field Camera 3,instruments,path_trigger,0.4,rule,"Norman noted during the testimony that HOP would be, essentially, a lighter copy of the Hubble Space Telescope and would include two instruments that were scheduled for installation on the Hubble: the Cosmic Origins Spectrograph (COS), the Wide Field Camera 3 (WFC3), plus the new Very Wide Field Imager (VWFI) to be paid for and provided by Japan."
wn-0001,0,LAUNCHED_BY,Delta IV Heavy,Delta IV Heavy,SPACECRAFT,SPACECRAFT:Delta IV Heavy,Boeing,Boeing,ORG,ORG:Boeing,launch,path_trigger,0.4,rule,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into its intended orbit, but the launch was considered successful by Air Force officials."
wn-0001,1,LAUNCHED_BY,Delta IV,Delta IV,SPACECRAFT,SPACECRAFT:Delta IV,the U.S. Air Force Research Laboratory,U.S. Air Force Research Laboratory,ORG,ORG:U.S. Air Force Research Laboratory,launch,path_trigger,0.4,rule,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
wn-0002,0,LAUNCHED_BY,Delta IV Heavy,Delta IV Heavy,SPACECRAFT,SPACECRAFT:Delta IV Heavy,Boeing,Boeing,ORG,ORG:Boeing,launch,path_trigger,0.4,rule,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into geosynchronous orbit, but the launch was considered successful by Air Force officials."
wn-0002,1,LAUNCHED_BY,Delta IV,Delta IV,SPACECRAFT,SPACECRAFT:Delta IV,the U.S. Air Force Research Laboratory,U.S. Air Force Research Laboratory,ORG,ORG:U.S. Air Force Research Laboratory,launch,path_trigger,0.4,rule,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
wn-0003,0,DESTINATION,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,Saturn,Saturn,CELESTIAL,CELESTIAL:Saturn,probe,path_trigger,0.4,rule,"The Cassini space probe, currently in orbit around the planet Saturn, has returned extraordinary pictures from the Saturnian satellite Iapetus."
wn-0003,0,ORBITS,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,Saturn,Saturn,CELESTIAL,CELESTIAL:Saturn,orbit,np_prep,0.6,rule,"The Cassini space probe, currently in orbit around the planet Saturn, has returned extraordinary pictures from the Saturnian satellite Iapetus."
wn-0005,8,LAUNCHED_BY,Cassini-Huygens,Cassini-Huygens,SPACECRAFT,SPACECRAFT:Cassini-Huygens,NASA,NASA,ORG,ORG:NASA,launched,active_svo,0.88,rule,"NASA launched Cassini-Huygens, the largest interplanetary space craft ever built, on October 15, 1997."
wn-0006,0,DESTINATION,Huygens,Huygens,SPACECRAFT,SPACECRAFT:Huygens,Titan,Titan,CELESTIAL,CELESTIAL:Titan,probe,path_trigger,0.4,rule,"Huygens, the European built Titan exploration probe, ended its seven-year voyage today when it landed on the surface of the second largest moon in the solar system at 11:38 a.m."
wn-0006,7,DESTINATION,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,Titan,Titan,CELESTIAL,CELESTIAL:Titan,probe,path_trigger,0.4,rule,Huygens broadcast data to its Cassini mothership (the US probe which carried Huygens to Titan) throughout its descent and then from the surface.
wn-0007,3,ORBITS,Shenzhou,Shenzhou,SPACECRAFT,SPACECRAFT:Shenzhou,Earth,Earth,CELESTIAL,CELESTIAL:Earth,circled,active_svo,0.88,rule,"China's first manned space mission happened in October 2003, in which the Shenzhou V spaceship circled the Earth fourteen times and landed safely by parachute on the northern plains of China."
wn-0008,0,OPERATED_BY,Rover Opportunity,Rover Opportunity,SPACECRAFT,SPACECRAFT:Rover Opportunity,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Mars Exploration Rover Opportunity has found a basketball-sized iron meteorite near heat shield debris at Meridiani Planum, Opportunity's landing location on Mars."
wn-0013,15,OPERATED_BY,Hubble Space Telescope,Hubble Space Telescope,SPACECRAFT,SPACECRAFT:Hubble Space Telescope,Goddard Space Flight Center,Goddard Space Flight Center,ORG,ORG:Goddard Space Flight Center,managed,passive_agent,0.92,rule,The Hubble Space Telescope is managed by the Goddard Space Flight Center which is located in Congressman Hoyer's district.
wn-0014,0,OPERATED_BY,Swift,Swift,SPACECRAFT,SPACECRAFT:Swift,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Swift satellite has completed all tests since its launch last November and with the Ultravioliet/Optical Telescope (UVOT) now on line, is now fully functional for the mission's 2 year quest for gamma-ray bursts."
